Order ID,Order Date,Customer ID,Segment,City,State,Product ID,Sub-Category,Sales,Quantity,Discount,Profit
CA-2016-152156,11-08-2016,CG-12520,Consumer,Henderson,Kentucky,FUR-BO-10001798,Bookcases,261.96,2,0,41.9136
CA-2016-152156,11-08-2016,CG-12520,Consumer,Henderson,Kentucky,FUR-CH-10000454,Chairs,731.94,3,0,219.582
CA-2016-138688,06-12-2016,DV-13045,Corporate,Los Angeles,California,OFF-LA-10000240,Labels,14.62,2,0,6.8714
US-2015-108966,10-11-2015,SO-20335,Consumer,Fort Lauderdale,Florida,FUR-TA-10000577,Tables,957.5775,5,0.45,-383.031
US-2015-108966,10-11-2015,SO-20335,Consumer,Fort Lauderdale,Florida,OFF-ST-10000760,Storage,22.368,2,0.2,2.5164
CA-2014-115812,06-09-2014,BH-11710,Consumer,Los Angeles,California,FUR-FU-10001487,Furnishings,48.86,7,0,14.1694
CA-2014-115812,06-09-2014,BH-11710,Consumer,Los Angeles,California,OFF-AR-10002833,Art,7.28,4,0,1.9656
CA-2014-115812,06-09-2014,BH-11710,Consumer,Los Angeles,California,TEC-PH-10002275,Phones,907.152,6,0.2,90.7152
CA-2014-115812,06-09-2014,BH-11710,Consumer,Los Angeles,California,OFF-BI-10003910,Binders,18.504,3,0.2,5.7825
CA-2014-115812,06-09-2014,BH-11710,Consumer,Los Angeles,California,OFF-AP-10002892,Appliances,114.9,5,0,34.47
CA-2014-115812,06-09-2014,BH-11710,Consumer,Los Angeles,California,FUR-TA-10001539,Tables,1706.184,9,0.2,85.3092
CA-2014-115812,06-09-2014,BH-11710,Consumer,Los Angeles,California,TEC-PH-10002033,Phones,911.424,4,0.2,68.3568
CA-2017-114412,4/15/2017,AA-10480,Consumer,Concord,North Carolina,OFF-PA-10002365,Paper,15.552,3,0.2,5.4432
CA-2016-161389,12-05-2016,IM-15070,Consumer,Seattle,Washington,OFF-BI-10003656,Binders,407.976,3,0.2,132.5922
US-2015-118983,11/22/2015,HP-14815,Home Office,Fort Worth,Texas,OFF-AP-10002311,Appliances,68.81,5,0.8,-123.858
US-2015-118983,11/22/2015,HP-14815,Home Office,Fort Worth,Texas,OFF-BI-10000756,Binders,2.544,3,0.8,-3.816
CA-2014-105893,11-11-2014,PK-19075,Consumer,Madison,Wisconsin,OFF-ST-10004186,Storage,665.88,6,0,13.3176
CA-2014-167164,5/13/2014,AG-10270,Consumer,West Jordan,Utah,OFF-ST-10000107,Storage,55.5,2,0,9.99
CA-2014-143336,8/27/2014,ZD-21925,Consumer,San Francisco,California,OFF-AR-10003056,Art,8.56,2,0,2.4824
CA-2014-143336,8/27/2014,ZD-21925,Consumer,San Francisco,California,TEC-PH-10001949,Phones,213.48,3,0.2,16.011
CA-2014-143336,8/27/2014,ZD-21925,Consumer,San Francisco,California,OFF-BI-10002215,Binders,22.72,4,0.2,7.384
CA-2016-137330,12-09-2016,KB-16585,Corporate,Fremont,Nebraska,OFF-AR-10000246,Art,19.46,7,0,5.0596
CA-2016-137330,12-09-2016,KB-16585,Corporate,Fremont,Nebraska,OFF-AP-10001492,Appliances,60.34,7,0,15.6884
US-2017-156909,7/16/2017,SF-20065,Consumer,Philadelphia,Pennsylvania,FUR-CH-10002774,Chairs,71.372,2,0.3,-1.0196
